#NAME Fe/H Fe/H_unc C/Fe C/Fe_unc ra_epoch2000 dec_epoch2000 ra_Gaia dec_Gaia ra_error dec_error pmra pmra_error pmdec pmdec_error parallax parallax_error rv rv_unc Binary phot_g_mean_flux phot_g_mean_flux_error phot_g_mean_mag phot_bp_mean_flux phot_bp_mean_flux_error phot_bp_mean_mag phot_rp_mean_flux phot_rp_mean_flux_error phot_rp_mean_mag bp_rp E_B_V_SandF AV_SandF A_G A_BP A_RP e_BP_RP G_0 err_G BP_0 err_BP RP_0 err_RP T_lit T_lit_unc logg_lit logg_lit_unc D1 dD1 D2 dD2 Area1 Area2 T1 T1_unc logg1 logg1_unc T2 T2_unc logg2 logg2_unc d_gaia d_gaia_unc apo dp_apo dm_apo peri dp_peri dm_peri ell dp_ell dm_ell z_apo dp_z_apo dm_z_apo U dp_U dm_U V dp_V dm_V W dp_W dm_W Vx dp_Vx dm_Vx Vy dp_Vy dm_Vy Vz dp_Vz dm_Vz X dp_X dm_X Y dp_Y dm_Y Z dp_Z dm_Z Lr dp_Lr dm_Lr Lp dp_Lp dm_Lp Lz dp_Lz dm_Lz E dp_E dm_E l dp_l dm_l b dp_b dm_b jp dp_jp dm_jp jr dp_jr dm_jr jz dp_jz dm_jz helioX dp_helioX dm_helioX helioY dp_helioY dm_helioY helioZ dp_helioZ dm_helioZ 
"SDSSJ030444.98+391021.1" -4.0 0.2 0.7 0.0 46.1874375223 39.1725764233 46.1874359579 39.1724934312 0.1882 0.1096 -0.282 0.336 -19.276 0.241 0.0752 0.1929 86.9272 8.0 0.0 2260.6000976562 3.96837 17.302805 1163.1400146484 9.44193 17.68731 1629.4599609375 21.6425 16.731808 0.955502 0.1105 0.3425 0.294296551 0.3657694513 0.2233065758 0.1424628755 17.008508449 0.0019059554 17.3215405487 0.008813595 16.5085014242 0.0144207567 5859.0 13.0 5.0 0.5 14.9485820656 1.2924905804 1.5052200686 0.0714459359 99.4533352735 0.5466647265 5547.4363103216 39.4096403032 2.8343290161 0.0887091367 5649.2765957791 67.9302288404 4.7136586666 0.0887091367 11.2927574421 15.725887481 16.3561678277 1.0138540943 0.894577142 7.9015587232 0.0865573896 0.0865573896 0.3486610587 0.0273011801 0.0273011801 7.127533646 0.5971922526 0.6345167684 -76.9689917443 6.5855440536 6.1465077834 -34.2820924135 5.3850550836 5.3850550836 -139.1010544028 5.5591386882 6.2540310242 65.4297883271 6.1465032694 6.5855392172 216.9581731782 5.3850582199 5.3850582199 -131.8512100733 5.5591438007 6.2540367758 9.2368421799 0.0595805135 0.0533088805 0.7330441547 0.0353118191 0.0315947855 -0.4342504444 0.0186692065 0.0208655838 -2.523367602 5.0234993999 6.5933429624 1186.0281663987 65.2291209539 54.9297860665 1956.4558266722 42.2744870489 39.7877525166 -40409.7148980928 1680.1001177688 1493.4223269056 149.3459694643 3.95E-8 3.69E-8 -16.7659709312 3.23E-8 3.45E-8 1956.4558266722 42.2744870489 39.7877525166 199.2595051012 45.3633898068 37.3580857232 269.9143601043 30.6851229224 28.9803938712 -1.2399793016 0.0533089366 0.0595805762 0.7330423679 0.035311733 0.0315947085 -0.4342497489 0.0186691766 0.0208655504
"SMSS-J031300.36-670839.3" -7.3 0.0 4.5 0.2 48.2515614545 -67.1442601577 48.2516393436 -67.1442554714 0.0172 0.0143 7.027 0.032 1.088 0.03 0.0981 0.0162 298.5 0.35 0.0 29337.0 8.3358 14.519826 14550.1 23.4739 14.944225 21726.8 21.8325 13.919429 1.024797 0.0321 0.0996 0.0855822979 0.1063668263 0.0649382054 0.0414286209 14.4342437021 3.085005E-4 14.8378581737 0.0017516349 13.8544907946 0.0010910183 5125.0 0.0 2.3 0.0 12.0725774433 0.814617211 0.0 0.0 100.0 0.0 5110.8267657466 31.47899664 1.8020297518 0.0703145942 0.0 0.0 0.0 0.0 7.9250133048 1.0261386298 39.7125433738 13.2198418233 8.4126266149 5.8879582374 1.2974921067 1.7299894756 0.7557371866 0.0171870806 0.0085935403 35.4199848462 8.1681148204 8.4316023953 -218.1895182123 18.5380801687 17.3794501582 -459.2502419251 17.4697606263 16.3779005871 -32.5906018953 11.3830229081 11.3830229081 205.9312690246 17.3794827804 18.5381149658 -208.0099924395 17.469762413 16.3779022622 -25.3415881092 11.3829774876 11.3829774876 5.8223592168 0.1421505371 0.1421505371 -8.4088421911 0.5489066165 0.5489066165 -8.5617816978 0.5588900965 0.5588900965 -1567.6058974467 334.624395059 358.5261375632 -1626.7361819006 322.1076415013 345.11533018 518.1032233252 203.6745280569 190.0962261865 -14065.2027670242 8294.6859588829 8294.6859588829 284.518897375 4.2E-9 4.5E-9 -44.5865148909 3.3E-9 3.1E-9 518.1032233252 203.6745280569 190.0962261865 1815.5063990305 609.0780723801 365.4468434281 1733.903360479 320.6189449574 320.6189449574 2.1681596672 0.1421502477 0.1421502477 -8.408852741 0.5489073052 0.5489073052 -8.5617724639 0.5588894937 0.5588894937
"HE0330+0148" -4.03 0.1 2.6 0.0 53.158696449 1.9666695723 53.1595326187 1.9634424161 0.1349 0.1541 194.093 0.453 -749.533 0.499 12.7174 0.2106 -33.6 1.0 1.0 87339.8 34.2714 13.335335 29511.4 87.185 14.176414 83162.5 93.5166 12.462101 1.714313 0.0936 0.2903 0.249443188 0.3100229944 0.1892727046 0.1207502898 13.085891812 4.260352E-4 13.8663910056 0.0032075822 12.2728282954 0.0012209194 4100.0 200.0 5.15 0.1 0.0748858908 5.104738E-4 0.0 0.0 100.0 0.0 4453.5826311641 1.1993036116 5.0138724057 9.996254E-4 0.0 0.0 0.0 0.0 0.0784874103 0.0012984133 8.8954522357 0.0 0.0 0.4562536551 0.2807714801 0.175482175 0.9016978122 0.0380524598 0.0475655747 1.0044183306 0.0 0.0 107.0284050002 9.4376028789 9.4376028789 -241.8274968758 9.4648833025 10.1409463955 -70.7098230983 7.8861974934 7.8861974934 -118.6834334869 9.4375913551 9.4375913551 9.412507463 9.4648922961 10.1409560316 -63.4600261347 7.8862119177 7.8862119177 8.0553960834 0.0023774563 0.0020604622 -0.0025255181 9.38027E-5 1.082339E-4 -0.0491453163 0.001825353 0.0021061765 0.6264336273 0.4132372385 0.4768121983 513.3416151147 63.3528145922 63.3528145922 75.4552177602 76.2594508503 81.7065544825 -72475.6515187591 821.3373806917 739.2036426225 182.6067187595 5.1E-8 5.1E-8 -41.5080471876 3.64E-8 4.6E-8 75.4552177602 76.2594508503 81.7065544825 719.6331356496 39.5640705984 47.8933486192 47.1409601412 16.5080526095 13.7567105079 -0.0554753999 0.0020604647 0.0023774593 -0.0025256419 9.38073E-5 1.082392E-4 -0.0491452332 0.0018253499 0.002106173 
"HE0557-4840" -4.8 0.2 1.65 0.0 89.6636087844 -48.6658029727 89.6636134673 -48.6657998093 0.0197 0.0218 0.718 0.043 0.735 0.044 0.0389 0.0207 211.94 0.8 0.0 15753.5 5.63668 15.194922 7689.55 19.6451 15.636636 11908.3 13.8041 14.572294 1.064342 0.0366 0.1133 0.0973541607 0.1209976053 0.073870469 0.0471271363 15.0975678393 3.884818E-4 15.5156383947 0.0027738159 14.498423531 0.0012585853 4900.0 100.0 2.2 0.3 20.0078305215 1.2532521216 0.0 0.0 100.0 0.0 5017.4560779373 27.8505497206 1.5914707506 0.061901709 0.0 0.0 0.0 0.0 14.2429516497 4.3499036113 23.477053348 1.06245699 1.1288605518 8.2072789589 0.886617495 0.7301555841 0.4772569456 0.0235636508 0.0235636508 9.9791574747 0.4543655648 0.4543655648 -110.281419579 5.2498100477 5.2498100477 -203.3287647002 2.574719718 3.0574796651 -31.4850525781 5.5777510238 5.5777510238 98.8065773694 5.2498128097 5.2498128097 47.9113832471 2.5747216262 3.0574819311 -24.2355116728 5.5777463937 5.5777463937 12.2896495039 0.2476622586 0.2476622586 -17.1702372238 0.9879657263 0.9879657263 -9.5957310481 0.5521329303 0.5521329303 866.1801932463 80.2656225158 91.7321400181 -657.18125261 145.0571232648 154.7275981491 2270.5305996269 201.8461664701 168.205138725 -29633.0452700581 1984.980113877 1984.980113877 255.9271683539 6.4E-9 6.4E-9 -28.4613798867 3.6E-9 3.4E-9 2270.5305996269 201.8461664701 168.205138725 508.4390755496 35.1329740023 37.6424721453 288.8085117363 16.0280860807 14.1424288947 -4.3042156347 0.2476621298 0.2476621298 -17.1702553219 0.9879667677 0.9879667677 -9.5956996675 0.5521311247 0.5521311247
"SDSSJ081554.26+472947.5" -5.8 0.0 5.0 0.0 123.976115075 47.4965559814 123.9760248763 47.4964516611 0.0694 0.0423 -14.154 0.135 -24.229 0.09 0.4441 0.0837 -95.0 23.0 0.0 3906.6298828125 2.12066 16.708858 2163.7800292969 11.3244 17.013357 2582.0 7.84266 16.232029 0.781328 0.0627 0.1945 0.1671260694 0.2077143292 0.1268120545 0.0809022747 16.5417319306 5.893769E-4 16.8056426708 0.0056823295 16.1052169455 0.0032978543 6215.0 82.0 4.7 0.5 1.5907429238 0.0667241793 7.1350989448 0.4539443686 99.8460705773 0.1539294227 6033.6861126345 56.4083844057 4.624354471 0.0156945124 5980.6080486524 118.6793245306 3.3846064098 0.0897201863 2.2120757765 0.4368398757 9.6508197818 0.1903011903 0.1268674602 4.9059700464 0.4077051141 0.4892461369 0.320364282 0.0474593421 0.0249786011 7.7726065554 0.6094337198 0.7313204637 -14.5176393324 20.0527697035 18.6204290104 -173.643059952 10.0850061944 11.0454829748 -154.0333859165 12.1040890812 13.9662566322 1.9852378573 18.620442618 20.0527843578 77.5971836135 10.084993287 11.0454688381 -146.7836180156 12.1040698088 13.9662343948 9.321738643 0.0880836486 0.0916069945 0.1840152847 0.012263194 0.0127537217 0.8852618935 0.0589958519 0.061355686 -95.7809926681 2.5070405889 1.4624403435 1368.3822543058 122.9774371039 115.2913472849 724.1916616516 88.1357159761 100.7265325441 -60235.8464601315 1826.0499208371 1304.3213720265 172.0740960176 1.44E-8 1.53E-8 33.5592750369 1.43E-8 1.14E-8 724.1916616516 88.1357159761 100.7265325441 115.4528997798 26.1529146121 15.6917487673 626.6921004362 163.9678301318 122.9758725989 -1.3252608901 0.0916069186 0.0880835756 0.1840153555 0.0122631987 0.0127537266 0.8852635151 0.05899596 0.0613557984
"SDSSJ092912.32+023817.0" -4.97 0.0 3.91 0.0 142.301366238 2.6380615891 142.3013473626 2.6380479115 0.1543 0.1495 -4.379 0.342 -3.177 0.364 0.1276 0.1872 388.33 10.4 1.0 1220.45 2.63794 17.972061 654.066 19.051 18.312334 826.0 9.72602 17.46947 0.842865 0.0533 0.1651 0.1418638203 0.1763168869 0.1076435447 0.0686733422 17.8301971797 0.0023467713 18.1360171131 0.0316243815 17.3618264553 0.0127844176 5894.0 0.0 3.7 0.0 15.5596563161 2.6058692783 2.39772847 0.205024863 68.1305696979 31.8694303021 5708.2848629063 124.3301065795 4.6871444519 0.0268728501 5775.3244630797 121.9844026552 3.1394771245 0.1733648827 9.6605087899 11.9982162718 23.1745360482 1.1375986338 0.2629658571 2.6088490816 0.0919576433 0.3454540138 0.7958603761 0.0142155107 0.0280060773 22.9855577041 1.1692698488 0.3494602617 -218.5655106565 5.1906853442 5.1993653432 -274.5380547281 1.9485851926 8.6001875543 177.5266505272 6.7131581689 8.5590340059 207.4660085377 5.1906851603 5.1993566976 -23.2981153302 1.9485933909 8.6002081289 184.7759496298 6.7131630685 8.5590440076 9.2235783168 0.0437018914 0.1053779024 -1.4992344512 0.0535473531 0.1291181551 1.398710634 0.0499569984 0.1204607673 -246.5232089265 0.9589153216 18.0914083379 0.0 56.1879606363 92.4713278321 96.5412173518 19.6962221362 112.6368516037 -34458.0718610142 1840.3010637196 298.6514089966 230.7809587647 8.9E-9 9.05E-8 35.8590594302 5.61E-8 3.53E-8 96.5412173518 19.6962221362 112.6368516037 1225.0955882392 56.8695071041 50.2005437469 1017.0548219301 78.5584470194 186.6175734132 -1.2235749201 0.0437017701 0.1053776099 -1.499233535 0.0535473204 0.1291180762 1.3987145875 0.0499571396 0.1204611078
"SDSSJ094708.27+461010.0" -4.1 0.2 1.0 0.4 146.784471294 46.1694746754 146.7845576993 46.1694065674 0.139 0.1372 13.898 0.317 -15.819 0.332 0.1989 0.2299 -5.0 12.0 0.0 585.5469970703 1.1584 18.769463 327.549987793 6.65663 19.063194 382.6289978027 6.37649 18.304976 0.758219 0.0132 0.0409 0.0351437335 0.0436787454 0.0266663906 0.0170123548 18.7343192665 0.002147935 19.0195152546 0.0220648588 18.2783096094 0.0180937311 5858.0 73.0 5.0 0.5 3.8370724549 0.2986626669 21.9280493535 2.038699836 81.9591988223 18.0408011777 5853.6738918127 110.3808098435 4.6696739386 0.0256909279 5801.3040496729 117.9397315022 3.2360132406 0.1153656085 8.9618980686 12.5501349635 30.2215426747 11.8082372538 5.9041186269 8.2922557071 0.8109694296 0.7659155724 0.5794571351 0.0726343219 0.0555438932 29.5493999904 8.5153556779 5.4937778567 206.2664924776 20.6313331178 19.25591091 -266.8172464902 20.77518181 25.2270064835 198.8720854697 22.9306686184 16.8962821399 -218.7413780013 19.255878973 20.6312988997 -15.5777190885 20.7752163729 25.2270484528 206.1219863766 22.9306556987 16.8962726201 10.5348226707 0.2223463563 0.1961879614 0.3276592585 0.0287411984 0.025359881 2.95659496 0.259342843 0.2288319203 103.9687211118 95.5733477523 59.7333423452 -2825.9349685164 292.146179869 375.6165169744 -88.499693873 203.909164229 250.965125205 -21330.8891340546 9766.2605657355 7324.6954243017 172.6345509972 5.46E-8 5.78E-8 49.1573687092 2.53E-8 2.7E-8 -88.499693873 203.909164229 250.965125205 885.6281910709 613.434424539 272.6375220174 2599.1205900623 242.5092961021 311.7976664169 -2.5478979207 0.1961876575 0.2223460118 0.3276612432 0.0287413725 0.0253600346 2.956598107 0.259343119 0.2288321639
"HE1012-1540" -4.17 0.16 2.2 0.0 153.722814524 -15.9314366402 153.7223563828 -15.9313155267 0.0257 0.0222 -102.32 0.046 28.13 0.04 2.5417 0.028 225.84 0.47 0.0 53726.6 19.1552 13.862892 28651.9 86.8979 14.208506 37195.5 37.607 13.335695 0.87281 0.0605 0.1874 0.1610253225 0.2001319542 0.1221829249 0.0779490293 13.7018666775 3.870986E-4 14.0083740458 0.0032929125 13.2135120751 0.0010977478 5230.0 32.0 2.65 0.2 0.3838839899 0.0039549501 0.0 0.0 100.0 0.0 5872.1643688481 15.9435966298 4.6653838766 0.0037306104 0.0 0.0 0.0 0.0 0.389045145 0.0042402119 14.0259621945 0.2516365173 0.3000281552 1.3341359164 0.0816756132 0.0408378066 0.8254243563 0.0036614301 0.0122047671 2.0300649392 0.0487837436 0.0512229308 -222.9830547222 4.401841802 3.8516115767 -191.089740661 0.4193248258 0.3699924934 48.9002406174 1.7221349071 1.5991252708 211.7457443741 3.7140518912 4.4018392785 60.1503920056 0.4193254424 0.3699930374 56.1496402449 1.7221399966 1.5991299968 8.0738118617 0.0015991085 0.0017704415 -0.3161266124 0.0075767085 0.0068434786 0.2073834708 0.0044928912 0.0049742724 -30.2460552186 0.1622024021 0.1243551749 -409.7373582246 13.8550068745 16.0718079744 552.5566878369 3.0518560498 3.2698457676 -55483.0370421872 738.0885869131 843.529813615 256.8478347728 7.4E-9 7.9E-9 32.5908908965 6.1E-9 6.8E-9 552.5566878369 3.0518560498 3.2698457676 845.4082750421 21.7833432284 25.0105051882 29.9575090681 2.6010229828 2.1675191523 -0.0738683816 0.0017704274 0.0015990957 -0.3161263763 0.0075767028 0.0068434735 0.2073840405 0.0044929035 0.004974286 
"SDSSJ102915+172927" -4.99 0.06 0.7 0.0 157.313121378 17.4910907404 157.3130723393 17.4910732784 0.0829 0.0616 -10.863 0.146 -4.056 0.113 0.7337 0.078 -35.0 4.0 0.0 4531.669921875 5.45156 16.54772 2530.0300292969 14.3975 16.843575 3068.2700195312 28.1769 16.044685 0.798889 0.0233 0.0722 0.0620385722 0.0771052683 0.0470736782 0.0300315901 16.4856814278 0.0013061313 16.7664697317 0.0061785381 15.9976113218 0.0099706614 5850.0 100.0 4.0 0.2 1.2805602007 0.0506357679 0.0 0.0 100.0 0.0 5764.0397190748 56.6493143832 4.6895897375 0.0122638046 0.0 0.0 0.0 0.0 1.3359801333 0.1424722061 10.9377639555 0.2277793073 0.2277793073 8.6202551852 0.0455987936 0.0518168109 0.1179276799 0.0122078937 0.0102803315 2.3707058728 0.2605899484 0.2084719587 -31.1051420148 2.9979615649 3.1743122452 -24.0938043988 2.6553653216 2.6553653216 -68.7573941004 3.4097598207 4.0490897871 19.8287188368 3.1743153459 3.1743153459 227.1463241134 2.6553638123 2.6553638123 -61.5074792308 3.4097601629 4.0490901934 8.5410492881 0.0341587473 0.0356439102 -0.4848224409 0.0318522956 0.0318522956 1.0702384648 0.0675687157 0.0705064859 -214.1801955111 10.4751576334 9.6371450227 546.4827573329 36.5462410101 34.6227546412 1949.6752852459 16.094385356 16.094385356 -49508.2445384983 415.1009440339 474.4010788959 221.7848169297 3.2E-8 3.02E-8 55.863473831 2.11E-8 2.24E-8 1949.6752852459 16.094385356 16.094385356 19.0088892284 4.2157697133 3.3282392474 75.7959917297 9.1938585851 9.6535515144 -0.5425324639 0.0356437796 0.0356437796 -0.4848213693 0.0318522252 0.0318522252 1.0702399494 0.0675688094 0.0705065837
"SDSSJ103402.70+070116.6" -4.01 0.14 "" "" 158.511301205 7.0212952832 158.5112673893 7.021266314 0.1097 0.1397 -7.795 0.236 -6.728 0.291 0.2874 0.1367 153.0 3.0 0.0 2386.57 3.93632 17.2439 1419.17 29.659 17.4713 1482.17 8.58928 16.8347 0.636627 0.02 0.062 0.05327412 0.06621228 0.04042338 0.0258 17.19062588 0.0018 17.40508772 0.0227 16.79427662 0.0063 6270.0 0.0 4.0 0.0 2.79 0.2599 8.2794 0.6385 89.2403 10.7597 6366.274642421 110.4440874723 4.5134 0.0425053079 6333.4531136683 211.4085621271 3.6141 0.1250955414 4.3853 3.7858 10.225301482 0.0862567979 0.3804944771 2.2628847458 0.0125511309 0.2844630954 0.6379987125 0.0045764143 0.0475722603 2.7593798043 0.0015893399 0.0624025749 -97.059994465 2.2226864721 9.8888680154 -179.9315641148 2.4255065672 11.277246113 33.3778942076 3.8475347431 9.1778001902 85.9602003115 2.2226739149 9.8888746753 71.3084796867 2.4254963095 11.2772259725 40.6274978742 3.8475346084 9.1778377875 8.9368574285 0.0277180242 0.1171545627 -1.5136216507 0.0447822629 0.189279269 2.2558393559 0.0667416454 0.2820940228 -221.9954248915 4.7421326346 16.084447242 0.0 46.9907957101 124.4468085464 768.0506605598 11.8525874299 61.3054916406 -65814.8749914064 217.2036035062 882.3713285277 238.2446134898 4.05E-8 3.69E-8 51.7228911545 4.28E-8 1.4E-9 768.0506605598 11.8525874299 61.3054916406 396.1257532842 13.0677946992 61.5838953928 77.0318202245 1.7073454286 0.788741103 -0.9368527916 0.027717887 0.1171539828 -1.5136192088 0.0447821907 0.1892789636 2.2558429201 0.0667417508 0.2820944685
SDSSJ103556.11+064143.9 -5.07 0.0 3.08 0.0 158.983818359 6.6955582264 158.9838331702 6.6955478508 0.2157 0.2014 3.416 0.403 -2.41 0.369 -0.3912 0.3163 -44.9722 6.0 0.0 813.8629760742 2.51233 18.411987 456.1940002441 8.27698 18.703514 503.1929931641 6.28128 18.007584 0.695931 0.0243 0.0754 0.064788206 0.0805226785 0.0491600475 0.031362631 18.347198794 0.003351581 18.6229913215 0.0196991133 17.9584239525 0.0135530765 6262.0 0.0 4.0 0.0 3.9737450506 0.3452608877 15.6242795228 1.1793768708 67.3247889827 32.6752110173 6144.4169628372 110.4032991633 4.5915145039 0.0351710728 6071.8229590789 167.9564640647 3.450973176 0.1140676858 13.976550563 16.0755008391 22.3737549656 2.0972897904 1.6988746004 7.0420860705 0.2562390162 0.2809861321 0.5212511768 0.0505988177 0.0401966243 6.9725235267 1.245598917 0.752231628 88.903449673 15.6632318447 14.4113782895 2.3417958351 1.2319685201 1.3333741236 -20.3663293474 0.2463581336 2.0868024268 -100.0034787446 15.663228793 14.411384775 253.5817473217 1.2319784557 1.3333595099 -13.1162036093 0.2463424778 2.0867748861 9.2675744484 0.1588899745 0.0188113227 -2.119450063 0.2656722576 0.0314534969 3.1506294394 0.3949302062 0.0467566058 -771.0386338641 92.7065080592 11.323230865 0.0 80.0124498487 29.4464571077 2139.6963537028 24.9733905547 18.5516700434 -32251.9133872155 2723.313334308 2075.2771014234 239.1178107036 1.74E-8 8.75E-8 51.9094788425 3.0E-8 8.29E-8 2139.6963537028 24.9733905547 18.5516700434 562.7638282503 133.234396326 121.3471436489 164.1101560641 36.2925686506 6.4723111262 -1.2675679671 0.1588891621 0.0188112265 -2.1194466145 0.2656718253 0.0314534458 3.1506343668 0.3949308239 0.0467566789
"SDSSJ105519.28+232234.0" -4.0 0.07 0.7 0.0 163.830333515 23.3761158455 163.8303691214 23.3760693541 0.1316 0.1904 7.591 0.291 -10.798 0.324 0.5909 0.1821 62.0 4.0 0.0 1786.3599853516 4.17828 17.558447 1096.3800048828 32.0432 17.751486 1098.0799560547 9.88427 17.160336 0.59115 0.0151 0.0468 0.0402133669 0.0499795906 0.0305131312 0.0194664595 17.5182336331 0.0025395272 17.7015064094 0.0317321219 17.1298228688 0.0097731585 6232.0 28.0 4.9 0.01 3.4897956744 0.4518890051 8.8389362174 0.9396562203 96.3990599153 3.6009400847 6452.1882435388 146.7571596529 4.479425165 0.0613249877 6580.8463693587 248.3726518138 3.7546645759 0.1575050294 1.9390990786 0.9478467226 14.8579720307 2.7097559995 2.7097559995 4.9385461535 0.3063721501 0.2297791125 0.5179965214 0.0416393263 0.0416393263 11.9340642829 4.5922230974 1.9134262906 156.2177409766 26.3113008033 23.0223882029 -151.8662244682 18.0829637576 18.0829637576 91.265625384 6.4056797839 5.6939375857 -170.6063860216 23.0223648102 26.3112740688 99.3734905485 18.0829918719 18.0829918719 98.515636856 6.4056900407 5.6939467028 9.3224399652 0.1732391276 0.1484906808 -0.9288580524 0.1023811994 0.1194447326 3.2270358765 0.4227404636 0.3623489688 -415.4030631427 10.5667322 21.1334644 -1491.1839174888 176.1303213719 220.1629017148 767.4221307355 177.5766135443 213.0919362531 -46380.5969127666 4618.6572801255 4618.6572801255 214.5854532796 1.325E-7 1.076E-7 63.5376036453 3.48E-8 3.48E-8 767.4221307355 177.5766135443 213.0919362531 196.7587602592 0.0 0.0 777.8371894316 331.1059136557 198.6635481934 -1.3471828425 0.1484900669 0.1732384114 -0.928854477 0.1023808053 0.1194442729 3.2270391087 0.422740887 0.3623493317
"SDSSJ120441.38+120111.5" -4.34 0.05 1.45 0.0 181.172452065 12.019865284 181.1724538026 12.0198441212 0.0531 0.0322 0.395 0.11 -4.915 0.067 0.2454 0.0656 50.9604 3.0 0.0 6899.78 3.48325 16.091278 3793.36 15.1146 16.40383 4628.03 14.6187 15.59843 0.8054 0.0241 0.0748 0.0642726477 0.0798819116 0.0487688517 0.0311130598 16.0270053523 5.481176E-4 16.3239480884 0.0043261037 15.5496611483 0.0034295482 5917.0 0.0 3.04 0.0 7.0307231988 0.5417573103 0.0 0.0 100.0 0.0 5679.2917693044 56.4541215195 3.100109908 0.0832955442 0.0 0.0 0.0 0.0 3.982905479 1.1580273406 12.716964371 0.6782827409 0.4388888324 3.686861677 0.2143210821 0.3025709394 0.5504815188 0.0421468222 0.029853999 10.5306086336 1.5443178409 1.0810224886 91.3309136231 9.239517683 7.6090145625 -148.9622061044 8.9181209424 13.3771814137 6.0968496097 4.3810527775 4.7180568373 -102.9742597389 7.0655111902 9.2395146334 102.277702643 8.9181217434 13.3771826151 13.346741792 4.381055093 4.7180593309 8.2111986549 0.019474238 0.0137465209 -2.2849071653 0.147917979 0.2095504703 6.75531214 0.6228948685 0.4396904954 -727.7923451656 39.0076215882 16.2531756618 -809.7312800841 74.2769589471 108.5586323074 602.8498059656 102.6935736661 154.0403604992 -54102.9653092864 1635.0209238417 908.3449576898 264.6908303833 3.94E-8 3.94E-8 71.3318584051 1.09E-8 1.09E-8 602.8498059656 102.6935736661 154.0403604992 341.1117215298 53.6343515435 37.5440460804 652.3269519187 131.1261203694 81.9538252309 -0.2123323511 0.013745754 0.0194731515 -2.2848973867 0.147917346 0.2095495735 6.7553157802 0.6228952042 0.4396907324
"SDSSJ124719.46-034152.4" -4.11 0.18 1.61 0.0 191.831114232 -3.6979179538 191.8310772893 -3.697910152 0.1837 0.1178 -8.562 0.439 1.812 0.226 0.3075 0.2098 83.9301 6.0 0.0 944.9719848633 1.39986 18.249817 566.0969848633 6.16104 18.469162 600.0670166016 6.84148 17.816422 0.652741 0.0222 0.0687 0.0590311626 0.0733674787 0.0447917134 0.0285757653 18.1907858374 0.0016083849 18.3957945213 0.0118164629 17.7716302866 0.0123786879 6332.0 0.0 4.0 0.0 4.1706140313 0.3179905884 13.4834180525 0.9818065792 91.6815624089 8.3184375911 6295.5677451515 92.2843962411 4.5397695437 0.0336409872 6256.2195161716 196.1511985236 3.5691626824 0.1182355319 7.3960527506 6.1518676644 9.8437519401 2.8767586687 0.0 4.9705779251 0.1923853945 0.1923853945 0.4056346787 0.0630363569 0.0378218142 5.4148530275 1.1556271594 0.3852090531 -142.3283254436 15.2464493004 22.8696739505 -104.8023721402 8.5001443973 8.5001443973 87.7890658033 7.1455923543 5.3591942657 127.4169238521 19.058072202 15.2464577616 146.4376559803 8.5001301313 8.5001301313 95.0385607707 7.1455034707 5.359127603 6.8647009691 0.0814878539 0.1086504719 -1.8947184698 0.1359963658 0.1813284877 3.6106215229 0.4425174205 0.2655104523 -717.754172877 43.5900066428 54.4875083035 -211.4152962813 106.931044214 106.931044214 1254.1858883895 33.579680797 33.579680797 -56306.4286813251 4919.346308578 0.0 300.9299225628 9.07E-8 9.72E-8 59.1578389206 3.08E-8 3.08E-8 1254.1858883895 33.579680797 33.579680797 87.9469389531 0.0 0.0 257.0783969396 27.1811039548 27.1811039548 1.1081433013 0.1358139341 0.0814883605 -1.8947119804 0.1359959 0.1813278667 3.6106226531 0.442517559 0.2655105354
"LAMOSTJ125346.09+075343.1" -4.02 0.06 1.59 0.0 193.44189217 7.8952603629 193.4419836475 7.895007511 0.0314 0.0242 21.045 0.082 -58.727 0.049 1.4053 0.0378 78.0 0.4 0.0 227570.0 33.675 12.295576 132686.0 130.605 12.544324 142781.0 82.926 11.875247 0.669077 0.0254 0.0787 0.0676237608 0.0840468765 0.0513116121 0.0327352644 12.2279522392 1.606634E-4 12.4602771235 0.0010687079 11.8239353879 6.305864E-4 6030.0 135.0 3.65 0.16 0.7663020723 0.0156001931 0.0 0.0 100.0 0.0 6597.8548650165 52.4294528664 3.7646649045 0.0311803437 0.0 0.0 0.0 0.0 0.6982324041 0.0184561168 13.3890967774 0.3895137516 0.3750873163 1.9396619524 0.1124259491 0.1780077528 0.7454514008 0.0267839269 0.0189719482 1.4496143339 0.0336677286 0.0307401001 187.5381149609 7.1991696652 7.1991696652 -147.7425404649 5.0601188341 5.2625235875 2.8581286222 2.8847425995 2.8847425995 -198.9148633973 7.1991690641 7.1991690641 103.4972796977 5.0601210363 5.2625258778 10.108180745 2.8847401236 2.8847401236 7.8568659301 0.0057642431 0.0059948128 -0.2068477217 0.0083300961 0.0086633 0.7195108721 0.0301835365 0.0290226312 -76.7954312083 1.4155818824 0.9909073177 -223.1236792351 11.0114046268 12.5844624307 772.0525526777 43.440946701 45.178584569 -56672.5883435366 943.4635091041 808.6830078035 304.6827650836 2.87E-8 2.33E-8 70.7590878178 6.2E-9 6.6E-9 772.0525526777 43.440946701 45.178584569 681.4630016607 55.0463618939 48.9300994613 20.5160666991 0.2204044526 0.251890803 0.1429047221 0.0059948641 0.0057642924 -0.2068465301 0.0083300481 0.0086632501 0.7195109709 0.0301835406 0.0290226352
